date,AUTOMOTIVE,BABY CARE,BEAUTY,BEVERAGES,BOOKS,BREAD/BAKERY,CELEBRATION,CLEANING,DAIRY,DELI,EGGS,FROZEN FOODS,GROCERY I,GROCERY II,HARDWARE,HOME AND KITCHEN I,HOME AND KITCHEN II,HOME APPLIANCES,HOME CARE,LADIESWEAR,LAWN AND GARDEN,LINGERIE,"LIQUOR,WINE,BEER",MAGAZINES,MEATS,PERSONAL CARE,PET SUPPLIES,PLAYERS AND ELECTRONICS,POULTRY,PREPARED FOODS,PRODUCE,SCHOOL AND OFFICE SUPPLIES,SEAFOOD,total_sales
2013-01-11,3.0,0.0,2.0,1033.0,0.0,296.43298,0.0,664.0,401.0,131.703,148.0,68.841,1750.0,27.0,2.0,0.0,0.0,0.0,0.0,0.0,10.0,14.0,130.0,0.0,458.241,81.0,0.0,0.0,179.567,57.0,0.0,0.0,37.231,5491.015979999999
2013-01-12,2.0,0.0,0.0,1143.0,0.0,321.681,0.0,621.0,404.0,107.167,166.0,83.905,1796.0,33.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,197.0,0.0,260.07098,103.0,0.0,0.0,140.046,54.0,0.0,0.0,26.913,5465.782980000001
2013-01-13,2.0,0.0,0.0,572.0,0.0,151.22,0.0,270.0,194.0,41.126,98.0,47.0,961.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,10.0,0.0,0.0,131.269,61.0,0.0,0.0,88.117004,38.0,0.0,0.0,14.146,2691.878004
2013-01-14,2.0,0.0,2.0,1178.0,0.0,281.286,0.0,692.0,411.0,144.155,143.0,78.15,1902.0,19.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,12.0,94.0,0.0,311.573,84.0,0.0,0.0,195.12401,64.0,0.0,0.0,33.397,5649.68501
2013-01-15,1.0,0.0,0.0,1149.0,0.0,285.612,0.0,686.0,357.0,100.801,136.0,47.0,1671.0,30.0,1.0,0.0,0.0,0.0,0.0,0.0,7.0,18.0,64.0,0.0,287.346,95.0,0.0,0.0,184.33,61.0,0.0,0.0,23.085,5203.174
2013-01-16,1.0,0.0,2.0,1043.0,0.0,386.158,0.0,980.0,519.0,116.265,207.0,102.0,2387.0,35.0,8.0,0.0,0.0,0.0,0.0,0.0,11.0,17.0,79.0,0.0,369.492,118.0,0.0,0.0,225.768,89.0,0.0,0.0,37.913002,6732.596002
2013-01-17,1.0,0.0,2.0,898.0,0.0,278.754,0.0,696.0,373.0,118.133,132.0,61.0,1648.0,24.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,86.0,0.0,280.879,100.0,0.0,0.0,140.855,71.0,0.0,0.0,19.853,4941.473999999999
2013-01-18,0.0,0.0,4.0,1130.0,0.0,270.991,0.0,758.0,464.0,140.52,170.0,90.0,1804.0,32.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,120.0,0.0,519.204,69.0,0.0,0.0,215.439,62.0,0.0,0.0,30.970001,5923.124001
2013-01-19,5.0,0.0,4.0,1280.0,0.0,322.255,0.0,610.0,447.0,134.437,175.0,140.0,1956.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,26.0,145.0,0.0,284.484,92.0,0.0,0.0,139.45,66.0,0.0,0.0,17.52,5890.146000000001
2013-01-20,3.0,0.0,1.0,453.0,0.0,112.410995,0.0,240.0,177.0,52.693,80.0,36.0,895.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,4.0,0.0,0.0,108.286,48.0,0.0,0.0,98.501,28.0,0.0,0.0,19.243,2368.133995
2013-01-21,1.0,0.0,0.0,1104.0,0.0,294.395,0.0,620.0,399.0,109.521,174.0,57.0,1679.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,8.0,5.0,80.0,0.0,274.88602,89.0,0.0,0.0,229.467,65.0,0.0,0.0,29.333,5226.602019999999
2013-01-22,1.0,0.0,1.0,1037.0,0.0,299.201,0.0,777.0,347.0,99.297,140.0,59.0,1809.0,30.0,2.0,0.0,0.0,0.0,0.0,0.0,9.0,6.0,77.0,0.0,274.261,90.0,0.0,0.0,147.272,75.0,0.0,0.0,18.955,5297.986
2013-01-23,3.0,0.0,0.0,1052.0,0.0,334.953,0.0,765.0,496.0,140.466,203.0,125.094,2271.0,45.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,23.0,100.0,0.0,312.199,103.0,0.0,0.0,170.537,69.0,0.0,0.0,38.097,6256.346
2013-01-24,0.0,0.0,0.0,846.0,0.0,341.388,0.0,622.0,359.0,111.185,113.0,19.0,1868.0,11.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,78.0,0.0,215.607,89.0,0.0,0.0,83.146,72.0,0.0,0.0,25.198,4861.524
2013-01-25,5.0,0.0,2.0,1103.0,0.0,323.856,0.0,699.0,399.0,113.73,148.0,44.0,1706.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,14.0,110.0,0.0,507.85,73.0,0.0,0.0,203.907,70.0,0.0,0.0,31.358,5572.701
2013-01-26,4.0,0.0,1.0,965.0,0.0,311.019,0.0,542.0,440.0,129.419,175.0,59.0,1775.0,22.0,1.0,0.0,0.0,0.0,0.0,0.0,9.0,9.0,167.0,0.0,274.442,117.0,0.0,0.0,185.98201,70.0,0.0,0.0,33.465,5286.32701
2013-01-27,2.0,0.0,0.0,417.0,0.0,152.783,0.0,243.0,192.0,35.699,77.0,46.0,811.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,267.816,42.0,0.0,0.0,107.689,26.0,0.0,0.0,6.391,2437.3779999999997
2013-01-28,3.0,0.0,0.0,772.0,0.0,312.064,0.0,623.0,405.0,123.074,166.0,62.0,1695.0,15.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,9.0,58.0,0.0,325.072,107.0,0.0,0.0,234.306,42.0,0.0,0.0,22.292,4973.808000000001
2013-01-29,2.0,0.0,3.0,932.0,0.0,236.418,0.0,612.0,327.0,111.45,150.0,63.736,1575.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,12.0,67.0,0.0,260.633,91.0,0.0,0.0,151.86,41.0,0.0,0.0,15.4140005,4679.511000499999
2013-01-30,6.0,0.0,3.0,1031.0,0.0,280.501,0.0,926.0,486.0,112.457,174.0,71.591,2157.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,11.0,109.0,0.0,304.018,98.0,0.0,0.0,215.853,62.0,0.0,0.0,27.467,6112.887
2013-01-31,0.0,0.0,2.0,889.0,0.0,304.766,0.0,706.0,365.0,111.712,121.0,35.0,1496.0,18.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,9.0,82.0,0.0,264.937,122.0,0.0,0.0,107.302,47.0,0.0,0.0,25.86,4712.576999999999
2013-02-01,3.0,0.0,0.0,941.0,0.0,318.274,0.0,739.0,430.0,122.34,172.0,84.657,1808.0,12.0,3.0,0.0,0.0,0.0,0.0,0.0,4.0,5.0,166.0,0.0,529.172,112.0,0.0,0.0,211.557,89.0,0.0,0.0,32.779,5779.779000000001
2013-02-02,0.0,0.0,4.0,1005.0,0.0,302.402,0.0,691.0,427.0,128.589,193.0,81.0,2092.0,16.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,168.0,0.0,253.804,103.0,0.0,0.0,144.11801,59.0,0.0,0.0,29.006,5706.9190100000005
2013-02-03,0.0,0.0,3.0,442.0,0.0,124.749,0.0,251.0,192.0,45.328,84.0,29.0,810.0,11.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,130.015,52.0,0.0,0.0,51.519,18.0,0.0,0.0,15.372,2267.9829999999997
2013-02-04,5.0,0.0,0.0,775.0,0.0,266.262,0.0,699.0,444.0,93.848,153.0,83.0,2221.0,20.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,62.0,0.0,305.111,85.0,0.0,0.0,286.828,44.0,0.0,0.0,23.992,5569.040999999999
2013-02-05,0.0,0.0,3.0,794.0,0.0,253.111,0.0,739.0,424.0,98.872,149.0,63.0,1868.0,23.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,8.0,89.0,0.0,229.85,83.0,0.0,0.0,171.171,55.0,0.0,0.0,25.782,5080.786000000001
2013-02-06,1.0,0.0,3.0,923.0,0.0,331.792,0.0,975.0,503.0,125.025,197.0,92.348,2056.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,11.0,114.0,0.0,338.001,130.0,0.0,0.0,168.727,81.0,0.0,0.0,29.539001,6106.432001
2013-02-07,1.0,0.0,1.0,794.0,0.0,241.674,0.0,627.0,342.0,88.239,109.0,70.024,1474.0,23.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,104.0,0.0,267.696,78.0,0.0,0.0,121.133995,67.0,0.0,0.0,16.476,4451.242995
2013-02-08,2.0,0.0,2.0,949.0,0.0,335.69,0.0,595.0,426.0,143.669,165.0,82.688,1767.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0,10.0,9.0,136.0,0.0,511.773,87.0,0.0,0.0,245.172,72.0,0.0,0.0,41.82,5591.812
2013-02-09,4.0,0.0,4.0,783.0,0.0,190.026,0.0,494.0,377.0,109.393,147.0,68.0,1552.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,131.0,0.0,282.407,89.0,0.0,0.0,106.519,52.0,0.0,0.0,13.227,4431.572
2013-02-10,1.0,0.0,0.0,185.0,0.0,77.57,0.0,122.0,110.0,22.869,37.0,34.0,385.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,27.0,0.0,74.741,33.0,0.0,0.0,55.313,17.0,0.0,0.0,9.642,1198.1350000000002
2013-02-11,0.0,0.0,0.0,172.0,0.0,96.248,0.0,152.0,151.0,26.321,46.0,22.0,458.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,21.0,0.0,92.739,23.0,0.0,0.0,44.441998,25.0,0.0,0.0,5.0,1344.749998
2013-02-12,0.0,0.0,0.0,280.0,0.0,96.456,0.0,218.0,139.0,25.121,74.0,48.184,628.0,14.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,24.0,0.0,106.388,36.0,0.0,0.0,114.57001,32.0,0.0,0.0,11.296,1852.0150099999998
2013-02-13,0.0,0.0,2.0,823.0,0.0,306.827,0.0,813.0,508.0,128.494,194.0,62.0,2422.0,32.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,8.0,79.0,0.0,326.558,136.0,0.0,0.0,179.157,63.0,0.0,0.0,32.689,6121.725
2013-02-14,0.0,0.0,1.0,728.0,0.0,356.423,0.0,638.0,457.0,109.317,135.0,76.0,1743.0,29.0,3.0,0.0,0.0,0.0,0.0,0.0,4.0,12.0,108.0,0.0,292.572,83.0,0.0,0.0,155.402,38.0,0.0,0.0,30.473999,4999.187999
2013-02-15,0.0,0.0,1.0,905.0,0.0,270.04498,0.0,686.0,459.0,125.443,192.0,68.0,1713.0,17.0,3.0,0.0,0.0,0.0,0.0,0.0,4.0,16.0,37.0,0.0,516.148,89.0,0.0,0.0,186.246,66.0,0.0,0.0,33.906,5387.78798
2013-02-16,1.0,0.0,2.0,989.0,0.0,301.624,0.0,598.0,521.0,132.603,184.0,87.0,2046.0,33.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,9.0,0.0,0.0,329.699,123.0,0.0,0.0,170.157,65.0,0.0,0.0,30.302,5624.384999999999
2013-02-17,1.0,0.0,1.0,299.0,0.0,134.79001,0.0,142.0,150.0,31.699,66.0,24.0,630.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,128.175,36.0,0.0,0.0,62.993,25.0,0.0,0.0,10.424,1746.0810099999997
2013-02-18,2.0,0.0,1.0,933.0,0.0,336.924,0.0,610.0,405.0,95.501,147.0,92.0,1799.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,72.0,0.0,262.232,91.0,0.0,0.0,382.46802,65.0,0.0,0.0,21.654,5341.779020000001
2013-02-19,4.0,0.0,1.0,852.0,0.0,312.449,0.0,752.0,368.0,116.834,133.0,85.0,1923.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,2.0,43.0,0.0,224.755,97.0,0.0,0.0,161.335,92.0,0.0,0.0,26.345,5225.718
2013-02-20,2.0,0.0,5.0,882.0,0.0,371.173,0.0,744.0,514.0,123.871,185.0,81.0,2246.0,22.0,1.0,0.0,0.0,0.0,0.0,0.0,7.0,8.0,102.0,0.0,322.954,112.0,0.0,0.0,192.62,71.0,0.0,0.0,31.452,6022.07
2013-02-21,1.0,0.0,4.0,910.0,0.0,323.04,0.0,709.0,353.0,135.132,135.0,57.0,2023.0,31.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,12.0,77.0,0.0,253.986,80.0,0.0,0.0,116.973,74.0,0.0,0.0,27.6,5324.731000000001
2013-02-22,2.0,0.0,1.0,959.0,0.0,311.591,0.0,815.0,424.0,133.771,173.0,81.766,1741.0,25.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,10.0,168.0,0.0,570.617,111.0,0.0,0.0,176.352,30.0,0.0,0.0,46.413002,5779.510002000001
2013-02-23,4.0,0.0,0.0,1000.0,0.0,311.05402,0.0,585.0,451.0,128.008,144.0,87.0,1851.0,25.0,10.0,0.0,0.0,0.0,0.0,0.0,8.0,14.0,145.0,0.0,232.161,127.0,0.0,0.0,198.984,70.0,0.0,0.0,35.781998,5422.989018
2013-02-24,0.0,0.0,0.0,439.0,0.0,146.674,0.0,228.0,194.0,48.395,79.0,40.0,782.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,3.0,0.0,0.0,146.001,42.0,0.0,0.0,68.441,47.0,0.0,0.0,10.201,2295.712
2013-02-25,1.0,0.0,0.0,851.0,0.0,293.047,0.0,622.0,507.0,119.534004,165.0,76.0,1897.0,53.0,8.0,0.0,0.0,0.0,0.0,0.0,6.0,14.0,63.0,0.0,293.25198,97.0,0.0,0.0,183.749,72.0,0.0,0.0,11.693,5332.274984
2013-02-26,0.0,0.0,1.0,787.0,0.0,280.463,0.0,577.0,426.0,123.9,131.0,84.88,1671.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,46.0,0.0,272.75598,92.0,0.0,0.0,124.575,43.0,0.0,0.0,15.705,4710.27898
2013-02-27,2.0,0.0,0.0,962.0,0.0,357.617,0.0,837.0,469.0,136.173,168.0,97.195,2174.0,19.0,4.0,0.0,0.0,0.0,0.0,0.0,7.0,15.0,93.0,0.0,318.132,117.0,0.0,0.0,167.002,68.0,0.0,0.0,43.823997,6052.942997000001
2013-02-28,1.0,0.0,6.0,960.0,0.0,248.44,0.0,715.0,401.0,100.727,129.0,57.0,1667.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,49.0,0.0,283.616,131.0,0.0,0.0,156.65201,47.0,0.0,0.0,26.257,5008.692009999999
2013-03-01,2.0,0.0,3.0,911.0,0.0,317.251,0.0,692.0,515.0,134.657,173.0,75.0,1930.0,30.0,0.0,0.0,0.0,1.0,0.0,0.0,8.0,3.0,125.0,0.0,548.013,95.0,0.0,0.0,290.243,59.0,0.0,0.0,28.392,5938.5560000000005
2013-03-02,1.0,0.0,0.0,1221.0,0.0,282.338,0.0,611.0,487.0,134.574,187.0,90.0,1980.0,9.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,115.0,0.0,298.891,129.0,0.0,0.0,164.523,70.0,0.0,0.0,30.140999,5816.466999
2013-03-03,2.0,0.0,0.0,372.0,0.0,141.733,0.0,264.0,216.0,67.408,86.0,36.0,914.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,149.736,63.0,0.0,0.0,68.972,20.0,0.0,0.0,16.978,2434.8269999999998
2013-03-04,5.0,0.0,0.0,1037.0,0.0,314.019,0.0,812.0,430.0,124.826,152.0,79.0,2299.0,16.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,72.0,0.0,339.293,125.0,0.0,0.0,184.067,52.0,0.0,0.0,31.286999,6089.491999
2013-03-05,0.0,0.0,5.0,780.0,0.0,251.336,0.0,721.0,381.0,109.438,133.0,61.0,1746.0,31.0,4.0,0.0,0.0,0.0,0.0,0.0,9.0,7.0,73.0,0.0,298.28,78.0,0.0,0.0,177.09201,73.0,0.0,0.0,30.488,4968.634010000001
2013-03-06,0.0,0.0,5.0,1069.0,0.0,356.865,0.0,927.0,515.0,117.542,207.0,123.953,2475.0,40.0,3.0,0.0,0.0,0.0,0.0,0.0,10.0,22.0,106.0,0.0,366.07,123.0,0.0,0.0,268.84,71.0,0.0,0.0,39.268,6845.538
2013-03-07,0.0,0.0,0.0,1094.0,0.0,291.043,0.0,689.0,409.0,112.701,132.0,86.0,1720.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,61.0,0.0,259.497,99.0,0.0,0.0,134.761,57.0,0.0,0.0,19.069,5199.071000000002
2013-03-08,0.0,0.0,1.0,1186.0,0.0,291.676,0.0,652.0,467.0,126.12,152.0,76.0,1893.0,40.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,15.0,172.0,0.0,516.55,49.0,0.0,0.0,213.937,118.0,0.0,0.0,35.392998,6010.675998000001
2013-03-09,2.0,0.0,1.0,1089.0,0.0,296.837,0.0,569.0,457.0,166.327,175.0,90.0,1972.0,33.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,125.0,0.0,274.607,117.0,0.0,0.0,183.331,69.0,0.0,0.0,29.409,5663.5109999999995
2013-03-10,0.0,0.0,0.0,548.0,0.0,160.934,0.0,271.0,227.0,57.798,78.0,40.0,854.0,19.0,2.0,0.0,0.0,0.0,0.0,0.0,6.0,7.0,0.0,0.0,141.019,72.0,0.0,0.0,63.439,32.0,0.0,0.0,22.214,2601.404
2013-03-11,2.0,0.0,0.0,1072.0,0.0,297.395,0.0,746.0,394.0,126.8,150.0,65.0,1809.0,14.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,64.0,0.0,310.032,90.0,0.0,0.0,266.41998,47.0,0.0,0.0,38.251,5502.89798
2013-03-12,5.0,0.0,1.0,833.0,0.0,247.66,0.0,642.0,427.0,127.225,155.0,87.403,1808.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,6.0,72.0,0.0,228.634,101.0,0.0,0.0,128.284,44.0,0.0,0.0,12.879,4960.084999999999
2013-03-13,2.0,0.0,5.0,1078.0,0.0,331.411,0.0,910.0,492.0,144.299,161.0,92.383,2010.0,22.0,2.0,0.0,0.0,0.0,0.0,0.0,11.0,13.0,98.0,0.0,322.366,108.0,0.0,0.0,187.45601,68.0,0.0,0.0,19.861,6075.77601
2013-03-14,3.0,0.0,3.0,753.0,0.0,289.69,0.0,537.0,375.0,104.032,109.0,65.0,1685.0,20.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,8.0,83.0,0.0,235.86,55.0,0.0,0.0,146.545,56.0,0.0,0.0,27.047,4554.174
2013-03-15,3.0,0.0,1.0,967.0,0.0,324.617,0.0,742.0,418.0,112.659,146.0,95.0,1760.0,45.0,4.0,0.0,0.0,0.0,0.0,0.0,9.0,8.0,137.0,0.0,487.097,83.0,0.0,0.0,207.838,45.0,0.0,0.0,43.267,5635.477999999999
2013-03-16,1.0,0.0,2.0,1092.0,0.0,308.95,0.0,658.0,458.0,98.042,190.0,140.0,2082.0,29.0,1.0,0.0,0.0,1.0,0.0,0.0,3.0,2.0,123.0,0.0,254.232,105.0,0.0,0.0,167.972,49.0,2.0,0.0,32.283,5798.479
2013-03-17,1.0,0.0,1.0,466.0,0.0,112.537,0.0,203.0,205.0,60.041,94.0,55.0,745.0,13.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,2.0,0.0,0.0,130.868,46.0,0.0,0.0,58.086998,32.0,23.0,0.0,4.078,2257.610998
2013-03-18,4.0,0.0,3.0,772.0,0.0,316.518,0.0,621.0,422.0,158.72,167.0,98.331,1830.0,7.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,9.0,77.0,0.0,280.095,93.0,0.0,0.0,211.399,66.0,0.0,0.0,21.282,5157.345
2013-03-19,1.0,0.0,1.0,836.0,0.0,252.72101,0.0,720.0,434.0,92.108,166.0,62.0,1813.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,9.0,59.0,0.0,155.222,74.0,0.0,0.0,165.659,46.0,2.0,0.0,13.542,4941.25201
2013-03-20,0.0,0.0,4.0,1059.0,0.0,387.811,0.0,784.0,554.0,151.015,196.0,110.0,2200.0,22.0,1.0,0.0,0.0,0.0,0.0,0.0,11.0,7.0,96.0,0.0,271.91,81.0,0.0,0.0,157.245,66.0,1.0,0.0,35.941,6195.921999999999
2013-03-21,1.0,0.0,2.0,756.0,0.0,355.371,0.0,682.0,435.0,122.132,176.0,75.234,1791.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,8.0,73.0,0.0,273.357,67.0,0.0,0.0,148.651,76.0,1.0,0.0,28.464,5096.209
2013-03-22,0.0,0.0,1.0,842.0,0.0,265.258,0.0,826.0,462.0,103.68,169.0,116.0,1981.0,18.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,97.0,0.0,516.912,117.0,0.0,0.0,165.741,60.0,7.0,0.0,42.478,5795.069
2013-03-23,0.0,0.0,1.0,985.0,0.0,295.364,0.0,546.0,495.0,132.475,172.0,108.137,1953.0,42.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,7.0,158.0,0.0,262.538,95.0,0.0,0.0,130.108,90.0,2.0,0.0,40.974,5518.596000000001
2013-03-24,1.0,0.0,2.0,390.0,0.0,107.761,0.0,175.0,217.0,52.486,78.0,29.0,725.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,2.0,0.0,0.0,100.099,27.0,0.0,0.0,61.192,47.0,17.0,0.0,8.342,2055.8799999999997
2013-03-25,4.0,0.0,2.0,856.0,0.0,315.877,0.0,554.0,464.0,92.689,176.0,99.1,1918.0,22.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,5.0,54.0,0.0,276.834,75.0,0.0,0.0,235.07799,56.0,2.0,0.0,23.835,5229.412989999999
2013-03-26,10.0,0.0,2.0,788.0,0.0,293.04,0.0,502.0,458.0,87.16,161.0,105.345,1768.0,17.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,134.0,0.0,198.406,84.0,0.0,0.0,105.683,56.0,0.0,0.0,28.642,4802.276
2013-03-27,3.0,0.0,2.0,1198.0,0.0,310.631,0.0,837.0,601.0,136.107,171.0,102.0,2208.0,18.0,5.0,0.0,0.0,0.0,0.0,0.0,14.0,15.0,125.0,0.0,279.93,83.0,0.0,0.0,172.183,76.0,0.0,0.0,30.604,6384.455
2013-03-28,2.0,0.0,0.0,1043.0,0.0,288.856,0.0,602.0,638.0,109.31,172.0,81.0,1875.0,18.0,1.0,0.0,0.0,1.0,0.0,0.0,4.0,10.0,121.0,0.0,250.828,86.0,0.0,0.0,225.212,132.0,5.0,0.0,21.5,5684.706
2013-03-29,1.0,0.0,0.0,280.0,0.0,94.265,0.0,186.0,218.0,48.618,60.0,23.0,636.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,60.0,0.0,244.319,20.0,0.0,0.0,24.479,86.0,2.0,0.0,10.048,2000.729
2013-03-30,2.0,0.0,4.0,787.0,0.0,206.749,0.0,471.0,338.0,99.48,137.0,100.0,1609.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,10.0,97.0,0.0,211.841,65.0,0.0,0.0,100.363,60.0,12.0,0.0,23.897,4351.33
2013-03-31,1.0,0.0,1.0,400.0,0.0,125.187,0.0,218.0,159.0,52.972,67.0,33.0,747.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,98.83,23.0,0.0,0.0,57.053,23.0,20.0,0.0,13.327,2041.369
